"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"10848","32","text","0","10854","0.0-0.0","228",""
"11132","32","text","1","22998","0.0-1.0","228",""
"7972","32","text","2","31974","0.0-2.0","228",""
"46674","","survey-likert","3","79680","0.0-3.0","228","{""Q0"":""3"",""Q1"":""1"",""Q2"":""1"",""Q3"":""2"",""Q4"":""5"",""Q5"":""6"",""Q6"":""4"",""Q7"":""5"",""Q8"":""0"",""Q9"":""1""}"
"51088","","survey-likert","4","131810","0.0-4.0","228","{""Q0"":""5"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""5"",""Q5"":""6"",""Q6"":""5"",""Q7"":""4"",""Q8"":""5"",""Q9"":""6""}"
"57056","","survey-likert","5","189896","0.0-5.0","228","{""Q0"":""6"",""Q1"":""4"",""Q2"":""4"",""Q3"":""5"",""Q4"":""6"",""Q5"":""6"",""Q6"":""6"",""Q7"":""6"",""Q8"":""4"",""Q9"":""0"",""Q10"":""5""}"
"35572","","survey-likert","6","226484","0.0-6.0","228","{""Q0"":""0"",""Q1"":""0"",""Q2"":""4"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""5""}"
"22894","","survey-text","7","250394","0.0-7.0","228","{""Q0"":""Voice""}"
"3228","32","text","8","254626","0.0-8.0","228",""
"48276","","survey-likert","9","303930","0.0-9.0","228","{""Q0"":""5"",""Q1"":""1"",""Q2"":""0"",""Q3"":""6"",""Q4"":""0"",""Q5"":""6"",""Q6"":""1"",""Q7"":""0"",""Q8"":""6"",""Q9"":""1"",""Q10"":""5"",""Q11"":""3"",""Q12"":""4"",""Q13"":""5""}"
"25126","","survey-likert","10","330076","0.0-10.0","228","{""Q0"":""5"",""Q1"":""5"",""Q2"":""7""}"
"26100","","survey-likert","11","357194","0.0-11.0","228","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"10544","","survey-text","12","368752","0.0-12.0","228","{""Q0"":""19"",""Q1"":""Male""}"
"4308","","survey-likert","13","374070","0.0-13.0","228","{""Q0"":""1""}"
"2876","","survey-text","14","377978","0.0-14.0","228","{""Q0"":""""}"
"8846","81","text","15","387832","0.0-15.0","228",""
