subjectNo,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
1,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
2,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
3,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
4,9,13,13,0,0,0,13,44,43,36,21,35,86,6,5,5,1,7,3,4,5,6,4,7,4,4,6,5,6,6,2,2,1,2,2,1,2,2,1,Piano,20,Male,1,6,4,4,6,6,6,6,3,3,5,5,6,4,3,5,6,4,5,6,7,6,6,3,1,7,2,5,4,2,2,4,2,6,6,6,5,5,7
5,5,7,7,3,2,1,12,57,60,37,44,38,113,7,6,3,5,5,5,5,6,6,6,2,6,3,6,4,5,6,2,5,3,2,5,3,2,5,3,Voice,19,Male,1,7,6,7,7,5,7,5,7,6,7,7,7,7,7,6,7,6,6,7,7,5,6,4,5,3,5,7,7,7,7,6,5,6,7,6,6,6,7
6,5,10,10,0,0,0,6,38,50,34,39,35,96,6,4,4,3,5,4,5,4,5,4,5,5,2,6,6,8,6,2,2,1,2,2,1,3,5,1,Voice,19,Male,1,6,2,6,5,3,5,3,5,3,6,6,5,6,3,6,6,7,5,6,6,6,3,4,6,3,5,7,7,6,6,5,3,6,6,6,5,6,6
7,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
8,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
9,2,6,6,0,0,0,7,50,46,28,31,40,83,7,6,5,3,6,2,4,7,4,7,5,5,1,6,2,2,2,2,2,1,2,2,1,2,2,1,Percussion,19,MALE,1,1,6,5,7,7,7,5,5,7,6,6,4,6,3,7,6,3,5,6,4,2,6,3,5,2,4,6,5,5,3,4,4,6,7,7,6,7,7
10,5,10,10,1,0,1,10,51,61,46,47,35,119,7,7,4,7,3,4,3,5,4,7,2,6,1,6,2,6,6,3,6,5,3,6,5,3,7,7,violin,22,Male,1,7,4,5,7,5,7,4,6,6,7,5,7,7,7,7,7,7,7,7,7,7,7,6,7,5,6,7,7,7,7,6,7,4,4,6,7,7,7
