"","subjectNo","rotAbsolute","rotBlock1","rotPartial"
"1",201,14,14,14
"2",202,7,9,9
"3",203,9,11,11
"4",204,3,5,5
"5",205,5,9,9
"6",206,2,6,6
"7",207,3,8,8
"8",209,9,11,11
"9",210,5,9,9
"10",211,0,2,2
"11",212,2,7,7
"12",213,5,8,8
"13",214,11,13,13
"14",215,2,6,6
"15",216,9,11,11
"16",217,5,11,11
"17",218,0,3,3
"18",219,9,11,11
"19",220,6,9,9
"20",221,2,7,7
"21",222,2,3,3
"22",223,7,10,10
"23",224,9,11,11
"24",225,9,10,10
"25",226,9,11,11
"26",227,5,7,7
"27",228,5,12,12
"28",229,5,9,9
"29",230,0,5,5
"30",1,2,9,9
"31",2,2,3,3
"32",3,2,8,8
"33",9,2,6,6
"34",10,5,10,10
"35",11,9,12,12
"36",12,14,14,14
"37",13,5,10,10
"38",15,14,14,14
"39",16,7,10,10
"40",17,9,12,12
"41",18,9,11,11
"42",19,0,2,2
"43",20,2,6,6
"44",21,9,12,12
"45",22,2,10,10
"46",23,2,3,3
"47",24,9,10,10
"48",25,2,3,3
"49",26,0,5,5
"50",27,9,9,9
"51",28,5,9,9
"52",29,5,10,10
"53",30,2,5,5
"54",31,2,4,4
"55",32,9,13,13
"56",33,9,13,13
"57",34,5,11,11
"58",35,14,14,14
"59",36,5,10,10
"60",37,5,11,11
"61",38,14,14,14
"62",39,14,14,14
"63",40,2,8,8
"64",41,2,6,6
"65",42,12,13,13
"66",4,9,13,13
"67",5,5,7,7
"68",6,5,10,10
"69",7,5,12,12
"70",8,3,7,7
