Subject,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
1,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
2,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
3,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
4,2,B,1,B,1,B,1,B,1,B,1,B,2,B,1,B,1,2,13,1,0,0,24,0,0,0,13,0,0.40916,1.20017,-1.21317,0.85985,0.98984,-0.61182,1.02,9,13,13,0,0,0,13,44,43,36,21,35,86,6,5,5,1,7,3,4,5,6,4,7,4,4,6,5,6,6,2,2,1,2,2,1,2,2,1,Piano,20,Male,1,6,4,4,6,6,6,6,3,3,5,5,6,4,3,5,6,4,5,6,7,6,6,3,1,7,2,5,4,2,2,4,2,6,6,6,5,5,7
5,,A,,A,,A,1,A,,A,,A,,A,,A,0,1,7,1,1,1,25,0,2,1,12,3,-0.16366,-0.60654,-0.46824,1.04677,0.68859,1.30582,0.38,5,7,7,3,2,1,12,57,60,37,44,38,113,7,6,3,5,5,5,5,6,6,6,2,6,3,6,4,5,6,2,5,3,2,5,3,2,5,3,Voice,19,Male,1,7,6,7,7,5,7,5,7,6,7,7,7,7,7,6,7,6,6,7,7,5,6,4,5,3,5,7,7,7,7,6,5,6,7,6,6,6,7
6,1,B,1,B,1,B,,B,2,B,2,B,2,B,1,B,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,-0.05,5,10,10,0,0,0,6,38,50,34,39,35,96,6,4,4,3,5,4,5,4,5,4,5,5,2,6,6,8,6,2,2,1,2,2,1,3,5,1,Voice,19,Male,1,6,2,6,5,3,5,3,5,3,6,6,5,6,3,6,6,7,5,6,6,6,3,4,6,3,5,7,7,6,6,5,3,6,6,6,5,6,6
7,2,A,1,A,1,A,1,A,1,A,2,A,1,A,1,A,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
8,2,B,,B,1,B,2,B,1,B,1,B,1,B,1,B,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
9,2,B,1,B,1,B,1,B,2,B,2,B,1,B,1,B,2,2,6,0,1,2,25,1,0,0,7,0,0.40916,-0.90765,0.27669,1.04677,-0.8177,-0.61182,-0.23,2,6,6,0,0,0,7,50,46,28,31,40,83,7,6,5,3,6,2,4,7,4,7,5,5,1,6,2,2,2,2,2,1,2,2,1,2,2,1,Percussion,19,MALE,1,1,6,5,7,7,7,5,5,7,6,6,4,6,3,7,6,3,5,6,4,2,6,3,5,2,4,6,5,5,3,4,4,6,7,7,6,7,7
10,1,A,2,A,2,A,1,A,1,A,2,A,2,A,2,A,0,0,10,0,2,3,23,1,0,1,10,1,-0.73649,0.29682,1.02162,0.67292,0.08607,0.02739,0.35,5,10,10,1,0,1,10,51,61,46,47,35,119,7,7,4,7,3,4,3,5,4,7,2,6,1,6,2,6,6,3,6,5,3,6,5,3,7,7,violin,22,Male,1,7,4,5,7,5,7,4,6,6,7,5,7,7,7,7,7,7,7,7,7,7,7,6,7,5,6,7,7,7,7,6,7,4,4,6,7,7,7
11,2,A,2,A,2,A,2,A,1,A,2,A,1,A,2,A,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,0.64,9,12,12,1,1,0,14,52,48,35,33,41,98,6,6,2,5,5,6,6,6,6,5,5,6,4,4,7,7,6,2,2,1,2,2,1,2,2,1,Clarinet,18,FEMALE,1,7,5,6,7,6,6,6,6,3,6,7,6,6,5,7,6,3,2,6,7,6,6,2,5,3,5,7,5,5,2,5,4,7,7,7,7,7,6
