Subject,X,RotAccErrTot.x,RotErrTot.x,RotPartial.x,RotSpeedErrTot.x,OspanAccErrTot.x,OspanMathErrTot.x,OspanPartial.x,OspanSpeedErrTot.x,SymmAccErrTot.x,SymmSpeedErrTot.x,SspanPartial.x,SymmErrTot.x,ZRotErrTot.x,ZRotPartial.x,ZOspanMathErrTot.x,ZOspanPartial.x,ZSspanPartial.x,ZSymmErrTot.x,Melody,AscendingDescending,Condition,cadence_type,change,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot.y,RotErrTot.y,RotPartial.y,RotSpeedErrTot.y,OspanAccErrTot.y,OspanMathErrTot.y,OspanPartial.y,OspanSpeedErrTot.y,SymmAccErrTot.y,SymmSpeedErrTot.y,SspanPartial.y,SymmErrTot.y,ZRotErrTot.y,ZRotPartial.y,ZOspanMathErrTot.y,ZOspanPartial.y,ZSspanPartial.y,ZSymmErrTot.y,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
1,1,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel3P001.aif,2,A,descending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,2,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel5P001.aif,1,A,ascending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,3,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel4P001.aif,2,A,descending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,4,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel1P001.aif,2,A,descending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,5,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel6P001.aif,2,A,ascending,change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,6,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel7P001.aif,1,A,ascending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,7,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel2P001.aif,2,A,descending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
1,8,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,mel8P001.aif,1,A,ascending,no_change,2,A,2,A,2,A,2,A,1,A,2,A,1,A,1,A,2,2,9,0,0,1,17,1,0,0,14,0,0.40916,-0.0043,-0.46824,-0.44862,1.2911,-0.61182,0.28,2,9,9,0,0,0,14,45,46,33,36,36,85,6,5,1,7,5,5,5,1,2,5,6,5,5,7,5,5,8,2,2,1,2,3,1,2,3,3,Horn,18,MALE,1,6,3,6,7,5,3,6,6,3,5,7,6,7,5,7,3,1,5,6,7,3,5,4,5,3,3,6,7,3,5,7,5,7,7,7,3,5,7
2,10,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel2P002.aif,2,B,ascending,change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
2,11,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel6P002.aif,2,B,descending,no_change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
