melodyFile,db3,db2,db1,dbVector,dbAscDesc,coder,melody
mel1P001.aif,mi,re,do,210,2,Dave,mel1
mel1P002.aif,do,ti,do,101,1,Dave,mel1
mel1P003.aif,re,ti,do,201,1,Dave,mel1
mel1P004.aif,mi,re,do,210,2,Dave,mel1
mel1P006.aif,mi,re,do,210,2,Dave,mel1
mel1P007.aif,do,re,do,10,2,Dave,mel1
mel1P008.aif,mi,re,do,210,2,Dave,mel1
mel1P009.aif,do,re,do,10,2,Dave,mel1
mel1P010.aif,do,ti,do,101,1,Dave,mel1
mel1P011.aif,mi,re,do,210,2,Dave,mel1
mel1P012.aif,do,ti,do,101,1,Dave,mel1
mel1P013.aif,do,ti,do,101,1,Dave,mel1
mel1P014.aif,re,do,ti,210,2,Dave,mel1
mel1P015.aif,do,re,do,10,2,Dave,mel1
mel1P016.aif,do,sol,do,101,1,Dave,mel1
mel1P017.aif,do,re,do,10,2,Dave,mel1
mel1P018.aif,do,ti,do,101,1,Dave,mel1
mel1P019.aif,mi,re,do,210,2,Dave,mel1
mel1P020.aif,do,re,do,10,2,Dave,mel1
mel1P021.aif,mi,re,do,210,2,Dave,mel1
mel1P022.aif,,,,NA,,Dave,mel1
mel1P023.aif,mi,re,do,210,2,Dave,mel1
mel1P024.aif,do,ti,do,101,1,Dave,mel1
mel1P025.aif,do,re,do,10,2,Dave,mel1
mel1P026.aif,ti,re,do,21,2,Dave,mel1
mel1P027.aif,do,ti,do,101,1,Dave,mel1
mel1P028.aif,do,ti,do,101,1,Dave,mel1
mel1P029.aif,,,,NA,,Dave,mel1
mel1P030.aif,do,ti,do,101,1,Dave,mel1
mel1P031.aif,do,ti,do,101,1,Dave,mel1
mel1P032.aif,do,re,do,10,2,Dave,mel1
mel1P033.aif,ti,re,do,21,2,Dave,mel1
mel1P034.aif,do,ti,do,101,1,Dave,mel1
mel1P035.aif,do,re,do,10,2,Dave,mel1
mel1P036.aif,do,re,do,10,2,Dave,mel1
mel1P037.aif,do,re,do,10,2,Dave,mel1
mel1P038.aif,do,ti,do,101,1,Dave,mel1
mel1P039.aif,do,re,do,10,2,Dave,mel1
mel1P040.aif,do,ti,do,101,1,Dave,mel1
mel1P041.aif,la,ti,do,12,1,Dave,mel1
mel1P042.aif,do,ti,do,101,1,Dave,mel1
mel1P201.aif,mi,re,do,210,2,Dave,mel1
mel1P202.aif,do,ti,do,101,1,Dave,mel1
mel1P203.aif,do,ti,do,101,1,Dave,mel1
mel1P204.aif,do,ti,la,210,2,Dave,mel1
mel1P205.aif,do,ti,do,101,1,Dave,mel1
mel1P207.aif,ti,re,do,21,2,Dave,mel1
mel1P208.aif,do,la,do,101,1,Dave,mel1
mel1P209.aif,re,ti,do,201,1,Dave,mel1
mel1P210.aif,do,re,do,10,2,Dave,mel1
mel1P211.aif,do,re,do,10,2,Dave,mel1
mel1P212.aif,mi,re,do,210,2,Dave,mel1
mel1P213.aif,mi,re,do,210,2,Dave,mel1
mel1P214.aif,do,ti,do,101,1,Dave,mel1
mel1P215.aif,do,ti,do,101,1,Dave,mel1
mel1P216.aif,re,do,ti,210,2,Dave,mel1
mel1P217.aif,do,ti,do,101,1,Dave,mel1
mel1P218.aif,do,ti,do,101,1,Dave,mel1
mel1P219.aif,,,,NA,,Dave,mel1
mel1P220.aif,ti,re,do,21,2,Dave,mel1
mel1P221.aif,re,do,re,101,1,Dave,mel1
mel1P223.aif,do,re,do,10,2,Dave,mel1
mel1P224.aif,,,,NA,,Dave,mel1
mel1P225.aif,,,,NA,,Dave,mel1
