melodyFile,em3,em2,em1,emVector,emAscDesc,melody,coder
mel5P001.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P002.aif,fa,re,do,210,2,Mel5,Elizabeth
mel5P003.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P004.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P006.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P007.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P008.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P009.aif,do,re,do,10,2,Mel5,Elizabeth
mel5P010.aif,re,sol,do,201,1,Mel5,Elizabeth
mel5P011.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P012.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P013.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P014.aif,re,mi,do,120,2,Mel5,Elizabeth
mel5P015.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P016.aif,do,ti,mi,102,1,Mel5,Elizabeth
mel5P017.aif,sol,mi,do,210,2,Mel5,Elizabeth
mel5P018.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P019.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P020.aif,do,re,do,10,2,Mel5,Elizabeth
mel5P021.aif,la,re,do,210,2,Mel5,Elizabeth
mel5P022.aif,re,ti,do,201,1,Mel5,Elizabeth
mel5P023.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P024.aif,do,re ,do,10,2,Mel5,Elizabeth
mel5P025.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P026.aif,do,re,do,10,2,Mel5,Elizabeth
mel5P027.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P028.aif,fa,re,do,210,2,Mel5,Elizabeth
mel5P029.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P030.aif,sol,fa,sol,101,1,Mel5,Elizabeth
mel5P031.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P032.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P033.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P034.aif,la,sol,do,102,1,Mel5,Elizabeth
mel5P035.aif,do,re,do,10,2,Mel5,Elizabeth
mel5P036.aif,re,mi,do,120,2,Mel5,Elizabeth
mel5P037.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P038.aif,mi,re,do,210,2,Mel5,Elizabeth
mel5P039.aif,fa,re,do,210,2,Mel5,Elizabeth
mel5P040.aif,mi,ti,do,201,1,Mel5,Elizabeth
mel5P041.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P042.aif,do,re,do,10,2,Mel5,Elizabeth
mel5P201.aif,,,,210,2,Mel5,Elizabeth
mel5P202.aif,,,,210,2,Mel5,Elizabeth
mel5P203.aif,,,,101,1,Mel5,Elizabeth
mel5P204.aif,,,,10,2,Mel5,Elizabeth
mel5P205.aif,re,ti,do,201,1,Mel5,Elizabeth
mel5P207.aif,,,,210,2,Mel5,Elizabeth
mel5P208.aif,,,,210,2,Mel5,Elizabeth
mel5P209.aif,,,,210,2,Mel5,Elizabeth
mel5P210.aif,do,la,sol,210,2,Mel5,Elizabeth
mel5P211.aif,,,,10,2,Mel5,Elizabeth
mel5P212.aif,,,,21,2,Mel5,Elizabeth
mel5P213.aif,,,,10,2,Mel5,Elizabeth
mel5P214.aif,ti,la,do,102,1,Mel5,Elizabeth
mel5P215.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P216.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P217.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P218.aif,,,,10,2,Mel5,Elizabeth
mel5P219.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P220.aif,do,sol,do,210,2,Mel5,Elizabeth
mel5P221.aif,,,,201,1,Mel5,Elizabeth
mel5P223.aif,,,,210,2,Mel5,Elizabeth
mel5P224.aif,,,,,,Mel5,Elizabeth
mel5P225.aif,,,,,,Mel5,Elizabeth
mel5P227.aif,do,re,do,10,2,Mel5,Elizabeth
mel5P228.aif,,,,201,1,Mel5,Elizabeth
mel5P229.aif,do,ti,do,101,1,Mel5,Elizabeth
mel5P230.aif,re,mi,do,120,2,Mel5,Elizabeth
mel6P001.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P002.aif,mi,fa,do,120,2,Mel6,Elizabeth
mel6P003.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P004.aif,do,ti,do,101,1,Mel6,Elizabeth
mel6P006.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P007.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P008.aif,do,ti,do,101,1,Mel6,Elizabeth
mel6P009.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P010.aif,fa,re,do,210,2,Mel6,Elizabeth
mel6P011.aif,,,,210,2,Mel6,Elizabeth
mel6P012.aif,sol,re,do,210,2,Mel6,Elizabeth
mel6P013.aif,,,,210,2,Mel6,Elizabeth
mel6P014.aif,re,mi,do,120,2,Mel6,Elizabeth
mel6P015.aif,re,ti,do,201,1,Mel6,Elizabeth
mel6P016.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P017.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P018.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P019.aif,fa,re,do,210,2,Mel6,Elizabeth
mel6P020.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P021.aif,fa,re,mi,201,1,Mel6,Elizabeth
mel6P022.aif,do,ti,do,101,1,Mel6,Elizabeth
mel6P023.aif,fa,ti,do,201,1,Mel6,Elizabeth
mel6P024.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P025.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P026.aif,mi,re,do,210,2,Mel6,Elizabeth
