subjectNo,melodyFile,db3,db2,db1,dbVector,dbAscDesc,melody,cd3,cd2,cd1,cdVector,cdAscDesc,cdComment,kv3,kv2,kv1,kvVector,kvAscDesc,kvComment,check,ascDescFin
1,mel3P001.aif,mi,re,do,210,2,mel3,ti,sol,mi,210,2,,sol,mi,do,210,2,,2,2
2,mel3P002.aif,sol,re,do,210,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
3,mel3P003.aif,sol,re,do,210,2,mel3,,,,,2,AUDIO FILE CORRUPTED,mi,re,do,210,2,audio file was distorted,2,2
4,mel3P004.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
6,mel3P006.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
7,mel3P007.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,I think this is a different mel.,1,1
8,mel3P008.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
9,mel3P009.aif,do,ti,do,101,1,mel3,re,ti,do,201,1,,re,ti,do,201,1,,1,1
10,mel3P010.aif,mi,re,do,210,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
11,mel3P011.aif,do,ti,la,210,2,mel3,,,,210,2,,do,ti,do,101,1,,2,2
12,mel3P012.aif,do,ti,do,101,1,mel3,mi,ti,do,201,1,,mi,ti,do,201,1,,1,1
14,mel3P014.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
15,mel3P015.aif,mi,re,do,210,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
16,mel3P016.aif,do,ti,do,101,1,mel3,re,ti,do,201,1,,re,ti,do,201,1,,1,1
17,mel3P017.aif,do,ti,do,101,1,mel3,re,mi,do,120,2,,re,mi,do,120,2,,2,2
18,mel3P018.aif,la,sol,la,101,1,mel3,la,sol,la,101,1,,la,sol,la,101,1,,1,1
19,mel3P019.aif,mi,re,do,210,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
20,mel3P020.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
21,mel3P021.aif,ti,re,do,21,2,mel3,re,mi,do,120,2,,re,mi,do,120,2,,2,2
22,mel3P022.aif,re,ti,do,201,1,mel3,re,ti,do,201,1,,re,ti,do,201,1,,1,1
23,mel3P023.aif,mi,re,do,210,2,mel3,fa,mi,re,210,2,"participant gave up at the end, but that's what I hear",fa,mi,re,210,2,,2,2
24,mel3P024.aif,do,ti,do,101,1,mel3,re,ti,do,201,1,,re,ti,do,201,1,,1,1
25,mel3P025.aif,mi,re,do,210,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
26,mel3P026.aif,do,re,do,10,2,mel3,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
27,mel3P027.aif,do,re,do,10,2,mel3,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
28,mel3P028.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
29,mel3P029.aif,mi,re,do,210,2,mel3,fa,mi,do,210,2,,fa,mi,do,210,2,,2,2
30,mel3P030.aif,do,ti,do,101,1,mel3,sol,fi,la,102,1,,ti,la,do,102,1,,1,1
31,mel3P031.aif,do,la,sol,210,2,mel3,do,la,sol,210,2,,do,la,sol,210,2,,2,2
32,mel3P032.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
33,mel3P033.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
34,mel3P034.aif,sol,mi,do,210,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
35,mel3P035.aif,do,re,do,10,2,mel3,mi,re,do,210,2,,mi,re,do,210,2,,2,2
36,mel3P036.aif,do,ti,do,101,1,mel3,do,ti,do,101,1,,do,ti,do,101,1,,1,1
