subjectNo,melodyFile,em3,em2,em1,emVector,emAscDesc,melody,cd3,cd2,cd1,cdVector,cdAscDesc,cdNotes,kv3,kv2,kv1,kvVector,kvAscDesc,kvComment,check,ascDescFin
1,mel5P001.aif,do,ti,do,101,1,mel5,,,,101,1,not really in a key,do,ti,do,101,1,,1,1
2,mel5P002.aif,fa,re,do,210,2,mel5,fa,re,do,210,2,,fa,re,do,210,2,,2,2
3,mel5P003.aif,do,ti,do,101,1,mel5,,,,101,1,AUDIO FILE CORRUPTED,do,ti,do,101,1,audio file was distorted,1,1
4,mel5P004.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
6,mel5P006.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,,fa,re,do,210,2,,2,2
7,mel5P007.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
8,mel5P008.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
9,mel5P009.aif,do,re,do,10,2,mel5,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
10,mel5P010.aif,re,sol,do,201,1,mel5,re,la,do,201,1,,re,sol,do,102,1,,1,1
11,mel5P011.aif,do,ti,do,101,1,mel5,,,,101,1,not really in a key,do,ti,do,101,1,,1,1
12,mel5P012.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,,mi,re,do,210,2,,2,2
13,mel5P013.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,not really in a key for most of this,re,do,ti,210,2,,2,2
14,mel5P014.aif,re,mi,do,120,2,mel5,,,,120,2,not really in a key,re,mi,do,120,2,,2,2
15,mel5P015.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
16,mel5P016.aif,do,ti,mi,102,1,mel5,,,,,1,not really in a key,do,ti,mi,102,1,,1,1
17,mel5P017.aif,sol,mi,do,210,2,mel5,,,,201,1,not sure about this one,re,ti,do,201,1,,2,2
18,mel5P018.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,,mi,re,do,210,2,,2,2
19,mel5P019.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,,mi,re,do,210,2,,2,2
20,mel5P020.aif,do,re,do,10,2,mel5,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
21,mel5P021.aif,la,re,do,210,2,mel5,,,,,2,,re,ti,do,201,1,,2,2
22,mel5P022.aif,re,ti,do,201,1,mel5,re,ti,do,201,1,,re,ti,do,201,1,,1,1
23,mel5P023.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,,mi,re,do,210,2,,2,2
24,mel5P024.aif,do,re ,do,10,2,mel5,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
25,mel5P025.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
26,mel5P026.aif,do,re,do,10,2,mel5,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
27,mel5P027.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
28,mel5P028.aif,fa,re,do,210,2,mel5,fa,re,do,210,2,,fa,re,do,210,2,,2,2
29,mel5P029.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
30,mel5P030.aif,sol,fa,sol,101,1,mel5,,,,101,1,not really in a key,sol,fa,sol,101,1,,1,1
31,mel5P031.aif,mi,re,do,210,2,mel5,mi,re,do,210,2,,mi,re,do,210,2,,2,2
