subjectNo,melodyFile,cd3,cd2,cd1,cdVector,cdAscDesc,cdComment,melody,em3,em2,em1,emVector,emAscDesc,ascDescFin
1,mel6P001.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
2,mel6P002.aif,mi,fa,do,120,2,,mel6,mi,fa,do,120,2,2
3,mel6P003.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
4,mel6P004.aif,mi,re,do,210,2,,mel6,do,ti,do,101,1,1
6,mel6P006.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
7,mel6P007.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
8,mel6P008.aif,mi,re,do,210,2,,mel6,do,ti,do,101,1,1
9,mel6P009.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
10,mel6P010.aif,fa,re,do,210,2,,mel6,fa,re,do,210,2,2
11,mel6P011.aif,,,,210,2,not really in a key,mel6,,,,210,2,2
12,mel6P012.aif,sol,re,do,210,2,,mel6,sol,re,do,210,2,2
13,mel6P013.aif,,,,210,2,not really in a key,mel6,,,,210,2,2
14,mel6P014.aif,,,,120,2,not really in a key,mel6,re,mi,do,120,2,2
15,mel6P015.aif,mi,re,do,210,2,,mel6,re,ti,do,201,1,1
16,mel6P016.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
17,mel6P017.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
18,mel6P018.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
19,mel6P019.aif,fa,re,do,210,2,,mel6,fa,re,do,210,2,2
20,mel6P020.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
21,mel6P021.aif,fa,re,mi,201,1,,mel6,fa,re,mi,201,1,1
22,mel6P022.aif,do,ti,do,101,1,,mel6,do,ti,do,101,1,1
23,mel6P023.aif,fa,ti,do,201,1,,mel6,fa,ti,do,201,1,1
24,mel6P024.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
25,mel6P025.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
26,mel6P026.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
27,mel6P027.aif,fa,re,do,210,2,,mel6,fa,re,do,210,2,2
28,mel6P028.aif,,,,101,1,not in a key at the end,mel6,re,ti,do,201,1,1
29,mel6P029.aif,fa,ti,do,201,1,,mel6,fa,ti,do,201,1,1
30,mel6P030.aif,do,re,mi,12,1,,mel6,do,re,mi,12,1,1
31,mel6P031.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
32,mel6P032.aif,,,,210,2,not in a key at the end,mel6,mi,re,do,210,2,2
33,mel6P033.aif,fa,ti,do,201,1,,mel6,fa,ti,do,201,1,1
34,mel6P034.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
35,mel6P035.aif,re,ti,do,201,1,,mel6,re,ti,do,201,1,1
36,mel6P036.aif,sol,re,do,210,2,,mel6,sol,re,do,210,2,2
37,mel6P037.aif,fa,re,do,210,2,,mel6,fa,re,do,210,2,2
38,mel6P038.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
39,mel6P039.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
40,mel6P040.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
41,mel6P041.aif,,,,210,2,not in a key at the end,mel6,fa,mi,do,210,2,2
42,mel6P042.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
201,mel6P201.aif,mi,fa,re,120,2,,mel6,mi,fa,re,120,2,2
202,mel6P202.aif,,,,101,2,I'm not really certain about this one,mel6,,,,210,2,2
203,mel6P203.aif,,,,,2,not really in a key,mel6,,,,201,1,1
204,mel6P204.aif,,,,210,2,not really in a key,mel6,,,,210,2,2
205,mel6P205.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
207,mel6P207.aif,,,,210,1,not really in a key,mel6,,,,120,2,2
208,mel6P208.aif,mi,fa,re,120,2,,mel6,,,,201,1,1
209,mel6P209.aif,fa,sol,mi,120,2,,mel6,,,,120,2,2
210,mel6P210.aif,re,do,ti,210,2,solfege is questionable. Participant gave up at the end,mel6,,,,210,2,2
211,mel6P211.aif,,,,210,2,not really in a key,mel6,,,,210,2,2
212,mel6P212.aif,,,,120,2,not really in a key,mel6,,,,201,1,1
213,mel6P213.aif,sol,mi,re,210,2,not certain about this solfege,mel6,,,,210,2,2
214,mel6P214.aif,fa,mi,re,210,2,,mel6,,,,210,2,2
215,mel6P215.aif,fa,mi,re,210,2,,mel6,fa,re,do,210,2,2
216,mel6P216.aif,mi,re,do,210,2,,mel6,mi,re,do,210,2,2
217,mel6P217.aif,re,mi,do,120,2,a bit out of tune,mel6,re,mi,do,120,2,2
218,mel6P218.aif,do,re,do,10,2,,mel6,do,re,do,10,2,2
219,mel6P219.aif,fa,re,do,210,2,,mel6,fa,re,do,210,2,2
220,mel6P220.aif,re,mi,fa,12,1,,mel6,re,mi,fa,12,1,1
221,mel6P221.aif,,,,101,1,clearly didn't take this seriously,mel6,,,,201,1,1
223,mel6P223.aif,sol,mi,re,210,2,,mel6,sol,mi,re,210,2,2
227,mel6P227.aif,,,,201,1,not really in a key,mel6,,,,201,1,1
228,mel6P228.aif,,,,120,2,not really in a key,mel6,,,,10,2,2
229,mel6P229.aif,,,,120,2,not really in a key,mel6,,,,120,2,2
230,mel6P230.aif,,,,101,1,,mel6,,,,101,1,1
