subjectNo,melodyFile,em3,em2,em1,emVector,emAscDesc,melody,kv3,kv2,kv1,kvVector,kvAscDesc,kvComment,ds3,ds2,ds1,dsVector,dsAscDesc,dsComment,check,ascDescFin
1,mel7P001.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
2,mel7P002.aif,re,re,do,21,2,mel7,fa,re,do,0 2 1,2,,fa?,re,do,0 2 1,2,,2,2
3,mel7P003.aif,do,do,me,201,1,mel7,sol,ti,do,0 1 2,1,audio file was distorted,sol,ti ,do,0 1 2,1,tough to hear,1,1
4,mel7P004.aif,sol,mi,re,21,2,mel7,fa,re,do,0 2 1,2,,mi,re ,do,0 2 1,2,,2,2
6,mel7P006.aif,fa,re,do,21,2,mel7,fa,re,do,0 2 1,2,,fa ,re,do,0 2 1,2,,2,2
7,mel7P007.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
8,mel7P008.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti ,do,0 1 2,1,,1,1
9,mel7P009.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti ,do,0 1 2,1,,1,1
10,mel7P010.aif,fa,re,do,21,2,mel7,fa,re,do,0 2 1,2,,fa,re ,do,0 2 1,2,,2,2
11,mel7P011.aif,sol,ti,do,12,1,mel7,le,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,maybe le?,1,1
12,mel7P012.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
14,mel7P014.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti ,do,0 1 2,1,,1,1
15,mel7P015.aif,do,re,do,10,2,mel7,do,re,do,0 1 0,2,different melody?,do ,re ,do,0 1 0,2,,2,2
16,mel7P016.aif,do,mi,re,21,2,mel7,re,sol,do,201,1,the last two pitches were hummed,re,sol,do,2 0 1,1,,1,1
17,mel7P017.aif,mi,la,do,12,1,mel7,mi,te,do,0 1 2,1,,mi ,ti?,do,0 1 2,1,,1,1
18,mel7P018.aif,re,mi,fa,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
19,mel7P019.aif,do,ti,do,101,1,mel7,do,ti,do,101,1,,do ,ti ,do,101,1,,1,1
20,mel7P020.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
21,mel7P021.aif,do,ti,do,210,2,mel7,ti,re,do,210,2,,ti,re,do,2 1 0,2,,2,2
22,mel7P022.aif,re,re,do,21,2,mel7,re,re,do,0 2 1,2,,re,re,do,0 2 1,2,,2,2
23,mel7P023.aif,do,re,do,10,2,mel7,do,re,do,0 1 0,2,melody not even close,,,,0 1 0,2,I have no clue.,2,2
24,mel7P024.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
25,mel7P025.aif,ti,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
26,mel7P026.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
27,mel7P027.aif,sol,la,do,12,1,mel7,sol,la,do,0 1 2,1,,sol,la,do,0 1 2,1,,1,1
28,mel7P028.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
29,mel7P029.aif,do,la,sol,21,2,mel7,mi,re,do,0 2 1,2,,mi,re,do,0 2 1,2,,2,2
30,mel7P030.aif,do,re,do,10,2,mel7,fa,ti,do,0 1 2,1,,fa,ti,do,0 1 2,1,,1,1
31,mel7P031.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
32,mel7P032.aif,do,la,fa,21,2,mel7,sol,mi,do,0 2 1,2,,sol,mi,do,0 2 1,2,,2,2
33,mel7P033.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,audio file was distorted,la,ti,do,0 1 2,1,,1,1
34,mel7P034.aif,do,ti,la,21,2,mel7,do,ti,la,0 2 1,2,,do,ti,la,0 2 1,2,,2,2
35,mel7P035.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,audio file was distorted,sol,ti,do,0 1 2,1,,1,1
36,mel7P036.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
37,mel7P037.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
38,mel7P038.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,audio file was distorted,sol,re,do,0 2 1,2,,2,2
39,mel7P039.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
40,mel7P040.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
41,mel7P041.aif,do,sol,do,12,1,mel7,do,sol,do,0 1 2,1,,do,sol,do,0 1 2,1,,1,1
42,mel7P042.aif,fa,ti,do,12,1,mel7,fa,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
201,mel7P201.aif,do,re,do,101,1,mel7,re,mi,do,0 1 2,1,,re,mi,do,0 1 2,1,,1,1
202,mel7P202.aif,re,do,la,210,2,mel7,mi,re,do,210,2,,mi,re,do,2 1 0,2,,2,2
203,mel7P203.aif,la,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
204,mel7P204.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
205,mel7P205.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
207,mel7P207.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
208,mel7P208.aif,do,ti,re,102,1,mel7,fa,mi,sol,102,1,,fa,mi,sol?,1 0 2,1,,1,1
209,mel7P209.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
210,mel7P210.aif,sol,ti,do,12,1,mel7,sol,ti,do,0 1 2,1,,sol,ti,do,0 1 2,1,,1,1
211,mel7P211.aif,do,re,do,10,2,mel7,do,re,do,0 1 0,1,,do,re,do,0 1 0,1,,2,2
212,mel7P212.aif,fa,mi,re,210,2,mel7,fa,mi,re,210,2,,fa,mi,re,2 1 0,2,,2,2
213,mel7P213.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
214,mel7P214.aif,do,do,fa,201,1,mel7,mi,re,do,102,1,,mi,re,do,1 0 2,1,,1,1
215,mel7P215.aif,sol,la,ti,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
216,mel7P216.aif,sol,re,do,21,2,mel7,sol,re,do,0 2 1,2,,sol,re,do,0 2 1,2,,2,2
217,mel7P217.aif,re,ti,do,12,1,mel7,do,ti,do,0 1 2,1,,do,ti,do,0 1 2,1,,1,1
218,mel7P218.aif,do,mi,re,21,2,mel7,do,mi,re,0 2 1,2,,do,mi,re,0 2 1,2,,2,2
219,mel7P219.aif,fa,mi,do,102,1,mel7,mi,re,do,102,1,,mi,re,do,1 0 2,1,,1,1
220,mel7P220.aif,sol,re,do,21,2,mel7,sol,me,do,0 2 1,2,,sol,me,do,0 2 1,2,,2,2
221,mel7P221.aif,mi,fa,sol,12,1,mel7,mi,fa,sol,0 1 2,1,,mi,fa,sol ,0 1 2,1,,1,1
223,mel7P223.aif,do,re,mi,12,1,mel7,do,re,mi,0 1 2,1,,do,re,mi,0 1 2,1,,1,1
227,mel7P227.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
228,mel7P228.aif,mi,re,do,210,2,mel7,me,re,do,210,2,,mi,re ,do,2 1 0,2,,2,2
229,mel7P229.aif,la,ti,do,12,1,mel7,la,ti,do,0 1 2,1,,la,ti,do,0 1 2,1,,1,1
230,mel7P230.aif,ti,re,do,21,2,mel7,ti,re,do,0 2 1,2,,ti,re,do,0 2 1,2,,2,2
